Co,Co,Co,Co,Co,Co,Co,Co,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,As,As,As,As,As,As,As,As,Se,Se,Se,Se,Se,Se,Se,Se,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Te,Te,Te,Te,Te,Te,Te,Te,Au,Au,Au,Au,Au,Au,Au,Au,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Bi,Bi,Bi,Bi,Bi,Bi,Bi,Bi
720,4698.681567346095,2.52,6.45,76.72,240.3,554,83.86,,656.442880281541,b.d.l,6.26,5279.99,172.62,97.12,708,,,b.d.l,,1235.71,10.15,3.425,796.4,680,0.600961665652446,b.d.l,,25.08,11.06,1.11,368.1,,124.5862399671258,907.63,0.9,1643.51,1642,3.881,158.1,30,21.88557433942117,80.56,49.5,155.89,3.2,0.058,69.75,7.4,0.01065,b.d.l,,2.33,0.03,9.449,25.08,48.53,0.0188,2.02,0.049,16.52,9.43,0.036,0.476,220,0.0931,10.08,0.28,,0.1,,15.96,0.09,0.01560930859241543,0.086,,,0.01,,0.252,742,0.02745,8.37,0.172,37.72,14,17.7,327.9,36.59,0.0074,3.82,0.113,0.12,0.07,5.38,1.968
740,1200,270,1.92,62.99,40.93,213.9,1359,490,660,2090,,7769.86,24.57,97.73,298,,2.16,470,0.557,177.64,3.98,3.517,28.47,9480,1.3,8.6,,7.77,4.8,105.8,899.5,,1.8,920,,2678.22,1704,2.603,162.6,20,17.81742472571552,29,8.45,221.43,1,,154.2,1.9,0.67,0.4,,2.01,0.02,2.088,28.55,1.33,0.014,11.1,,17.5,2.34,0.082,0.683,510,0.22135,bdl,,,<0.13,,91.92,0.08,0.15,0.1,0.195,,<0.01,0.024,1.115,575,12,3.8,0.056,44.36,4.16,84.11,424.2,9.72,0.64,0.2,0.0178,0.24,0.07,1.396,11.33
790,998,156,1.96,62.46,95.8,14.96,123.9,,662,1110,0.47,8505.57,31.15,0.47,422.8,390,0.122,100,,137.72,5.37,3.53,681.7,1640,0.9304,3,,10.8,5.42,0.4,6133,,88.6597,930,19.76,2573.95,2676,0.76,178.7,,7,49,10.45,233.9,2.4,2.02,88.8,11.1,0.04295,0.5,,1.45,0.03,1.2,20.9,47.81,0.04055,40,,16.85,4.92,0.27,1.016,,0.1002,bdl,0.68,,0.1,0.13,29.25,0.09,,0.4,,,<0.01,0.02,0.184,589,0.02295,5.9,0.194,56.4,7.28,3.99,2861,30.91,0.0052,0.5,,0.21,0.08,3.39,8.615
790,18210,151.87,2.18,109.33,52.62,1.015,51.54,,665.8,245.57,0.41,1699.83,40.8,24.88,236.5,,88.36,11.5,,1493.15,16.35,3.533,587.4,,6.039,b.d.l,,57.1,8.42,0.508,1373,,2462,930.14,0.89,2067.21,2266,46.18,180.9,40,80.57,24.82,19.09,117.27,3.5,2.034,69.93,7.7,0,0.173,,17.85,<0.01,1.644,1.121,19.48,0.039,0.69,,348.99,4.86,0.346,0.976,240,0,2.74,10.32,,0.09,,1.738,0.18,12.11,0.126,,,0.01,0.033,0.012,716,0.09,43.38,9.4,464.84,12.53,0.208,6.159,26.33,2.495,6.85,,2.78,0.08,6.28,4.795
800,9110,44.4955948424813,4.87,107.55,160.7,14.05,40.26122093893638,160,681.3,103.432632291162,1.55,1951.05,69.42,21.79,,430,75.89,5.97173136802643,14.3,1085.7,11.28,3.597,,,24.49,b.d.l.,4.55,103.86,14.54,0.476,,,813.2,939.337183681034,6.14,1791.3,1707,9.774,13.20516832971075,150,10.64,b.d.l.,19.6,113.3,1.7,0.142,194.4762500628072,4.4,9.013,0.192876877470497,5.99,16.56,0.02,,,47.6,0.409,2.02894652752688,0.025,307.84,14.08,,,40,0,b.d.l.,0.5,,0.13,19.55,43.44447598883995,0.14,4.982,0.604291132925264,0.1,,0.01,0.01,,618,429,12.0285195364683,1.64,376.78,35.22,0.24,,10.83,13.86,b.d.l.,0.2,2.48,0.1,0.592,0.4735782220580542
17100,18960,1.16,5.01,105.42,156.58,713.2,20.60379699204643,,706.2,b.d.l,3.07,1818.78,41.62,162.5,,2.29,616.4,2.56,23.2,1373.1,9.84,8.877,,100,8.705,b.d.l,7.2,87.27,4.13,108.9,,,8478,982.08,7.5,1972.7,2155,8.717,14.66591504279528,,50.93,b.d.l,20,123.87,3.4,0.157,690.4728851886529,,4.665,b.d.l,6.6,16.95,0.02,57.411,,,0.097,b.d.l,0.025,326,7.77,,,,0,b.d.l,0.5,,<0.13,,1.791000399197109,0.26,0.632,0.089,0.1,,<0.01,0.005,0.02847978034810854,100,4.298,0.072,2.32,439.81,7.3,100.5,,,6.886,0.0254,0.01,2.51,0.1,20.54,0.08196722717614385
,3671,390,5.01,60.38,123.1,0.35,59.17,,717.3,2000,3.07,1441.66,44.78,2.22,145.6,,24.65,150,6.6,1772.17,27.63,7.16,1285,,9.697,1.3,5.4,29.08,4.7,0.44,18.33,,414.6,990,6.8,794.51,2686,4177.95,15.31,,31.67,29,4.6,180.93,3.1,4.26,45.95,,0.873,0.2,3.95,6.82,0.05,0.63,5.492,,0.027,8,,98.44,8.11,0.14,1.239,,0,bdl,,,0.19,4.28,0.446,,0.942,0.1,,,0.01,2.42,0.009,,3.581,3.8,2.32,141.72,13.59,0.94,33.26,,1.514,0.3,,0.78,0.14,15.59,0.541
,6200,350,5.02,83,0.29,0.32,119.3,,730,1720,2.85,2114.44,5.37,2.87,95.48,,3.19,24.5,,2451.36,20.95,7.69,114.4,,2.4,1.8,,17.28,1.06,1.23,431.2,,18,1000,2.54,1366.8,210,1726.61,15.64,,31.87154707818548,33,,211.52,9.3,0.44,70.78,,2.1,0.2,0.159,12.26,<0.01,0.68,1.364,,0.23,13.8,,190.48,0.35,0.29,0.204,,0.2439,bdl,0.35,,<0.13,3.95,1.061,,0.021,0.2,,,<0.01,1.24,0.014,,19,6.4,,233.56,10.94,1.6,25.91,,0.4,0.4,,1.75,0,2.64,3.62
,5200,2.33,5.15,4.86,130.9,0.07,123.5,,1000,b.d.l,0.72,107.67,407.7,2.53,200.9,,0.42,4.61,,479.86,44.28,7.95,174.1,,1.7,b.d.l,,27.59,6.42,3.34,13.76,,2.1,1005.11,10.2,101.29,63,1961.72,15.97,,26.54081372808703,66.36,,37.49,5.7,1.43,296.5,,1.8,b.d.l,,3.62,0.03,1.47,0.569,,0.93,2.3,,14.58,2.35,595.59,0.402,,0.12565,16.25,23.23,,<0.13,0.03,5.131,,0.019,0.184,0.098,,0,0.05,0.07,,180,9.44,6.2,489.33,35.2,14.51,48.41,,21,4.98,3.36,0.24,0,0.94,20.26
,3347.639455529514,389.2,2.26,1.01,0.06,29.35,325.2820194976361,,1001.280115185462,267.35,1.8,53.38,1.13,8.31,1.8,,,37.76,0.175,578.38,2.57,8.17,,,0.35335,b.d.l,,27.13,0.36,79.86,,,102.1673725902011,1007.58,83.98,63.63,63,2571.5,16.10473686536754,,26.54081372808703,117.59,7.12,20.05,4.3,7.28,379.6081908717392,,0.0193652115166928,18.95,,2.27,<0.01,14.27,,,0.0303,27.87,,6.53,11.6,21.54,,,0.1732,2.83,6.19,,<0.13,0.12,2.284679392985685,,0.02745,0.357,,,<0.01,0.17,0.02943122792412132,,0.02295,256.74,,328.13,1.6,5685.31,,,0.005770489559173296,50.15,,0.04,<0.01,15.75,
,2827.302725831397,5.31,2.36,4.55,7.81,20.54,248.9,,1009.51653052784,140.39,,109.14,31.53,4.04,183.8,,,3.71,1.09,490.52,1.89,8.6,163.8,,0.30265,b.d.l,,13.75,3.41,0.59,58.58,,91.56459829399677,1043.25,9.95,114.36,199,7524.85,16.57,,22.16535345819234,39.49,14.6,33.58,8.6,3.99,237.7,,0.00901924401916852,b.d.l,,3.11,0.05,0.31,11.25,,0.0364,2.33,,11.76,1.48,4.41,0.146,,0.1907,9.29,3.77,,<0.13,0.09,19.87,,0.006334545540023836,0.15,,,<0.01,0.67,0.108,,0.02665,79.58,,404.27,11.36,20,1.662,,0.03031673403193417,9.86,2.34,0.2,<0.01,0.98,5.817
,652.1,213.59,2.37,10.75,4.8,46.92,92.25,,1078,711.78,1.31,153.58,17.54,9.345,104.4,,275.2,15.12,2.5,401.88,17.87,8.62,306,,28,b.d.l,9.9,16.51,0.73,5.285,985,,217.3,1044.44,8.1,140.12,291,0.858,17.1,,33.73,35.03,51,39.99,17.5,,26.05,,29.6,0.91,6.64,3.9,0.07,0.153,3.058,,0.848,11.12,0.025,18.83,2.12,,0.603,,0,1.37,0.5,,<0.13,42.35,4.093,,3.868,0.208,0.1,,<0.01,,0.019,,232.9,169.22,5.02,558.12,12.22,1.667,33.87,,25.59,5.34,0.01,0.33,<0.01,8.819,4.677
,3100,66,2.39,5.18,7.74,12.2,220.2447873617718,,1100,59,1.81,89.32,20.21,98.97,,,6.31,0.9,31.6,555.54,30.05,8.78,,,3.9,1.2,3.81,15.51,1.96,2.99,12.78063224144389,,bdl,1058,7.7,94.72,518,3757.48,17.22519211465136,,51.13208202668092,5.9,21.4,33.24,23.4,1.12,216.0750764280259,,0.09,0.4,1.69,2.5,0.06,0.88,0.2381523793680198,,0.05,0.5,0.05,11.53,2,0.14,1.13518173139712,,1.506672369650087,bdl,0.25,,0.18,46.35,2.455211409488753,,0.05,0.1,0.05,,<0.01,0.83,0.09171544322685293,,8.6,3.2,1.33,390.63,13.6,2.96,5.349219373675366,,0.21,0.8,0.005,0.09,<0.01,14.25,0.231369959934448
,2500,135.49,2.48,323.55,5.25,,125.8,,1100,265.79,1.38,1078.47,19.94,0.24,162.6,,19.09,346.82,5.4,93.88,21.34,21.38,252.4,,1.8,246.98,10.2,14.04,1.99,1.3,11.94,,bdl,1103.55,7.7,132.88,288,4987.34,18.35,,52.29602892272951,b.d.l,54,7.17,17.6,0.12,130.5,,0.69,3.31,7.39,6.64,0.11,7.13,0.622,,0.025,66.42,0.025,4.82,2.37,42,0.321,,1.800843457055026,3.78,0.5,,<0.13,,1.921,,0.084,0.451,0.1,,<0.01,2.2,0.024,,12,499.46,4.5,95.58,14.1,411.79,40.41,,0.72,19.58,0.022,80.87,<0.01,22.5,8.159
,4214,52.37,2.51,1470.4,9.41,28.31,179.8,,1124,b.d.l,1.67,2143.75,33.12,81.64,170.5,,8.127,12.65,26.5,209,21.45,24.16,789,,5.168,b.d.l,5.32,16.86,4.2,8.93,30.91,,4583,1103.77,6.59,486.62,188,2007.84,20.89,,82.19,72.72,21.4,28.42,11.7,2.09,75.9,,0,0.192,6.61,23.13,0.11,16.43,3.873,,0,8.62,0.025,4.39,1.96,1223.31,0.998,,0,16.64,0.5,,<0.13,0.04,8.027,,12.26,0.44,0.1,,<0.01,0.06,0.034,,0.421,49.37,1.89,99.45,14.12,4784.22,64.35,,0.304,20.69,0.01,94.6,<0.01,27.71,9.847
,5200,229.01,2.57830534,16.36,10.54,0.58,213.4,,760,761.22,3.38908609,230.12,38.29,4.49,168.8,,2.76,2162.62,45.5948098,41.73,2.4,25.26,79.23,,11,b.d.l,0.50281083,18.02,3.71,1.23,2.333,,3.2,1109.58,0.445,41.57,212,1886.15,21.28,,25.83119999160914,35.39,71.1160393,6.08,15.2,0.63,351.9,,0.26,0.97,0.025,5.43,0.12,9.34,0.743,,0.07,7.06,0.015,5.42,1.8,7.48,0.355,,0.1259,1.46,0.31578143,,0.2,0.17,3.596,,0.018,0.382,0,,<0.01,1.37,0.076,,240,52.98,0.01490247,98.97,14.14,624.59,62.5,,0.36,6.88,0.005,65.05,<0.01,8.67,18.52
,4085.482661952582,79.33,6.98,48.18,10.9,154.1,87.38,,768.2936474453358,510.14,2.25,302.83,35.13,5.49,223.8,,,10.01,,23.91,5.7,29.3,640.7,,0.4302,13.19,,16.73,4.14,1.66,32.93,,120.9868267668584,1118.17,,73.26,180,656.37,21.98,,22.07657355540752,28.45,,3.28,10.2,3.74,105.9,,0.01985,0.78,0.067,0.32,0.16,8.74,2.359,,0.02255,7.08,,5.61,1.99,3.43,1.083,,0.12565,1.32,0.46,,<0.13,0.14,0.656,,0.01095,0.79,,,<0.01,0.01,0.015,,0.02225,37.99,0.406,83.06,14.35,2534.06,41.16,,0.0082,4.97,0.182,6.93,<0.01,14.4,1.122
,2500,20.2601636851352,7.36,8.63,13.75,0.06,30.48637604167881,,770,101.944132324363,74.9,273.78,82.68,1.94,,,3.46,12.7334107713798,16.6,20.38,54.94,31.81,0.01365331209167992,,3.4,22.316128736848,4.88,15.57,1.33,0.81,15.85958798423383,,bdl,1124.38658794557,6.98,38.61,442,9935.27,22.36673927310459,,70.13821370652354,b.d.l.,8.8,2.64,29.6,4.63,103.9172763521185,,0.027,2.93556423509528,4.97,0.43,0.08,1.34,0.23381147584556,,bdl,b.d.l.,0.025,1.73,2.27,16.78,,,7.795798828926715,1.64932312156221,0.5,,<0.13,0.09,0.1744186175930325,,0.03,b.d.l.,0.1,,<0.01,0.68,0.1214003211315855,,2.8,154.668140895164,2.45,16.52,15.21,69.87,8.4137114376293,,0.2,0.0140405409145102,0.01,1.96,<0.01,1.5,0.02637909762350238
,428.5,93.72,7.7,28.84,5.22,2.74,211.2,,330.5,2074.94,4.8,218.08,19.78,3.15,317.9,,59.12,b.d.l,6.6,15.13,29.56,33.08,3.09,,10.87,b.d.l,10,15.25,2.37,0.62,1.043,,161.2,1126.38,34.9,75.09,291,6913.67,181.6,,70.17,62.56,4.6,2.75,30.6,4.11,164.5,,1.161,b.d.l,7.14,0.11,0.15,0.73,1.248,,46.01,3.25,0.025,1.2,2.62,22.72,0.037,,0,8.99,0.5,,0.26,0.11,6.108,,33.21,0.065,0.1,,0.03,0.75,0.172,,83.55,10.21,8.2,22.95,18.5,91.29,1.686,,13.2,5.27,0.01,1.7,<0.01,4.91,5.131
,1173,483.1775096351508,7.7,8.78,5.19,97.42,1346,,334,339.1633455164613,4.08,93.22,45.88,446.68,365.5,,0.17435,11.20971299940642,15.78,71.44,23.83,33.96,2.896,,0.9316,21.2509536632132,,15.88,1.43,2.5,5503,,48.225,1157.869602196694,,41.15,237,97.51,223.1,,8,9.731875959304245,99.76,1.77,11.4,2.95,64.67,,0.0224,1.424415434963682,0.0184,4.12,<0.01,7.06,0.3,,0.0416,100.2010657608465,,5.14,1.09,62.62,0.236,,0.23085,0.5540523864617954,0.081,,<0.13,0.04,4.898,,,0.7165802289806634,,,<0.01,0.3,0.029,,0.02175,8.356107417715144,,93.26,20.64,245.76,7.835,,0.00505,0.04110547966196756,0.0388,58.5,<0.01,1.38,1.34
,7722.60882337341,58,7.98,47.86,72.64,89.22,225.6,,339.9445263829152,47,0.49,322.78,258.34,100.78,161.2,,,1.7,1.25,224.04,35.3,358.85,75.13,,11.3023485221063,3,,22.91,4.09,171.26,10.87,,566.6906658840268,1180,0.72,357.51,139,3108.02,234.1,,94.36960720552129,bdl,7.11,2.24,4.3,4.22,259.7,,0.3607302771351479,bdl,0.243,14.23,<0.01,0.61,6.886,,4.922243378660587,0.3,0.047,23.18,2.46,1.32,1.226,,0.7169291180336385,bdl,1.14,,<0.13,0.04,147.7,,0.03220315818603207,bdl,0.069,,<0.01,0.03,0.369,,28.2897966696861,0.5,,566.23,21.23,80.83,64.05,,0.394694914042471,bdl,2.39,0.33,<0.01,0.33,34.88
,112.3,874.43,8.02,45.41,125.52,1.35,1345,,351.1,287.13,3.83,362.69,351.89,0.89,274,,22.08,231.61,7.99,268.41,43.55,411.36,2.08,,9.15,b.d.l,,26.09,7.06,-,1845,,128.3,1182.46,0.44,355.93,56.9,406.94,236.5,,65.56,b.d.l,68.19,3.45,4.9,2.19,62.84,,0.688,2.27,,15.39,<0.01,8.59,0.149,,43.8,42.86,,26.5,2.13,3.55,0.04,,0,2.86,,,<0.13,-,1.155,,3.348,0.417,,,<0.01,0.01,0.016,,80.37,329.3,,592.88,27.11,127.22,2.131,,13.21,13.95,0.0097,0.39,<0.01,5.83,0.178
,5900,b.d.l,8.02,54.61,125.27,2.07,56.97,,370,b.d.l,9,298.36,424.12,1.39,216,,5.75,b.d.l,,176.11,48.41,450.72,211.4,,7.2,b.d.l,,22.55,5.27,1.56,30.21,,2.5,1229.24,,381.44,71.7,238.59,245.2,,48.43813728024804,62.46,22.88,2.45,7.4,1.74,80.36,,0.07,b.d.l,,12.6,<0.01,30.22,4.7,,0.023,0.087,,24.54,2.42,30.55,0.667,,0.09705,11.99,0.27,,<0.13,0.12,17.1,,0.033,0.053,,,<0.01,0.05,0.072,,14,0.34,0.385,580.04,30.29,767.5,19.07,,0.92,0.203,0.55,0.34,<0.01,342.98,10.03
,203.8,42,8.36,42.28,106.49,0.65,94.53,,379.4,46.1,1.73,353.63,339.96,3.72,197.4,,62.73,1.9,,222.61,44.46,10.57,373.1,,6.291,5.2,,26.96,4.59,2.93,109.2,,220.1,1250,16.27,374.81,58.3,1146.17,251.1,,101.4,3.2,5.01,2.61,5.3,0.9,141.6,,0.494,0.1,0.073,14.37,<0.01,1.5,2.042,,45.48,0.8,,24.02,2.21,401.4,1.179,,0,bdl,0.44,,<0.13,0.1,83.53,,14.79,bdl,0.089,,<0.01,0.06,0.13,,79.18,1.3,0.026,562.37,31.06,152.05,89.62,,7.242,bdl,0.0484,0.34,<0.01,3.06,45.44
,,593.271236180521,8.5,54.46,139.18,19.03,54.64,,383.2,440.116209672106,1046,386.8,410.63,95.54,159,,2917,130.430037688807,53,204.09,44.88,10.85,2047,,3.366,b.d.l.,7.3,27.37,4.81,4.89,1903,,9787,1261.03172710162,19.5,352.48,63,1903.86,259.9,,52.96,b.d.l.,24,1.71,5.6,6.33,3.406,,2.084,0.982481890241302,13.2,16.92,0.02,61.7,18.58,,0.024,b.d.l.,0.05,29.68,2.48,2556.51,40.54,,0,10.2958012603098,0.25,,<0.13,0.19,12.25,,4.927,29.1881005011132,0.05,,0.01,0.03,0.432,,42.89,16.3224924906296,1.07,719.48,32.46,2445.65,300.8,,2.125,b.d.l.,0.158,0.53,<0.01,11.84,23.9
,13520,453.79,8.5,54.84,93.14,33.79,10.8,,394.3,257.12,480,391.62,308.69,58.39,196.9,,2.827,24.77,37.6,243.27,40.82,12.85,4846,,2.584,b.d.l,4.9,28.86,5.13,0.517,48.03,,1177,1271.71,9.5,355.38,129.8,19.05,277.7,,32.41,b.d.l,,2.85,4.7,0.08,3.42,,0,0.87,13.2,16.7,<0.01,8.098,16,,0.064,49.57,,33.74,2.46,0.21,15.7,,0,1.36,,,<0.13,0.58,13.52,,3.68,0.401,,,<0.01,,0.719,,0,181.5,1.07,758.76,33.3,1.136,75.18,,0.009,6.38,0.114,0.54,<0.01,2.04,1.142
,7680,73,8.54,476.73,13.11,1.6,24.37782667368093,,428.9,41.7,,668.16,125.26,,,,402.1,1.8,1.9,750.88,68.69,16.49,0.01878406680638359,,48.16,2.4,,23.41,3.27,0.44,,,2353,1280,1.43,73.17,366.1,678.2,306.0966996658791,,60.2,bdl,,6.06,4.1,,1898.492553098516,,0.857,0.1,,31.73,<0.01,3.87,,,0.29,0.4,0.048,42.13,2.21,18.28,,,0,bdl,0.86,,<0.13,,19.79258238597051,,4.102,bdl,,,<0.01,0.84,0.02711444863441687,,14.86,bdl,1,609.84,36.81,748.57,,,3.561,bdl,,7.2,<0.01,0.99,
,957,109,8.567062,509.9,82.27,26.5,121,,441,54,12.085516,741.33,296.37,3.376,650,,0.2998,1.4,14.5867248,670.23,41.09,3.798,34.16,,0.582,7,0.50899576,31.27,4.22,0.543,23.43,,67.6329,607,0.375,85.54,102.1,21.98,306.6,,7,3.7,42.2095456,4.6,6.6,0.083,82.97,,0.01075,0.1,0.01,31.85,<0.01,0.739,6.416,,0.0211,0.5,0.015,45.53,2.28,0.017,1.549,,0.09225,bdl,0.06,,<0.13,1.76,30.36,,,bdl,0,,<0.01,0.029,0.136,,0.01835,1.4,0.01179074,702.13,37.43,2.991,37.08,,0.0086,0.3,0.0314147,8.26,<0.01,0.052,17.76
,51.91,24,10.7,408.69,23.33,1.36,318.9,,447.4,36.2,,600.89,150.76,31.25,205.3,,41.15,2.5,,572.5,56.43,3.84,427,,2.965,2.2,,23.35,1.6,,1797,,30.1,611,4.56,69.4,258.8,1756,311,,19.31,4.8,18.81,8.06,3.1,0.28,41.57,,0.076,1.7,,24.18,<0.01,0.39,1.294,,0.075,3.1,,38.7,2,1.72,0.567,,0,9.3,2.87,,<0.13,0.29,19.66,,0.127,0.3,0.153,,0,,0.027,,2.526,15.9,0.058,539.97,41.75,0.99,44.3,,0.178,4.5,,6.04,<0.01,5.64,10.6
,16930,36,10.73,392.14,10.62,13.71,525.9,,467.2,46.2,1.68,568.28,123.59,13.09,100.6,,676.6,1.9,6.6,1124.06,55.2,4.33,1105,,7.228,4.2,5.3,25.24,0.95,-,5713,,6851,627,6.1,62.76,349.7,237.88,316.9,,48.62,3.9,80,6.28,4.9,-,18.96,,100.8,0.6,5.78,28.57,<0.01,0.86,35.98,,0.635,2.5,0.025,29.9,2.33,0.05,15.39,,0,3.4,0.5,,<0.13,5.69,1.371,,1.931,0.1,0.1,,<0.01,-,0.144,,10.4,10.7,0.49,436.37,45.28,2.51,3106,,14.8,2.2,0.01,5.74,<0.01,9.54,48.42
,6400,118,10.81,336.96,21.95,3.516,229.9,,490,54,4.75,669.7,156.75,1.15,44.37,,7,1.4,6.41,1917.05,45.85,4.414,492.9,,3.2,5.1,,34.61,3.22,0.631,496.4,,bdl,630,0.48,57.14,258.1,68.5,323.1,,49.86674429774647,bdl,65.38,5.46,4.2,0.161,11.03,,0.036,0.2,,31.47,<0.01,58.99,16.62,,0.015,1.2,,29.82,1.94,0.08,12.89,,0.22135,2.2,,,<0.13,23.28,0.782,,0.046,0.1,,,<0.01,,0.207,,13,3.1,0.0212,420.04,45.51,264.2,1287,,0.32,0.9,0.063,5.83,<0.01,213.8,23.3
,,37,10.86,713.29,10.76,,6.485,,148.6,32.9,,2098.41,132.17,0.35,172,,27.56,1.8,26.83,4751.74,75.96,4.96,154,,3.337,3.2,,116.5,2.8,1.28,24.15,,53.19,649,,89.55,368.2,4952.99,326.3,,64.42,4,26.15,46.66,7.2,3.48,2.177,,0.035,0.4,0.101,22.19,<0.01,0.26,7.792,,0,0.8,,32.28,2.39,0.79,12.87,,0,3,1.4,,<0.13,5.58,15.76,,0.226,0.1,,,<0.01,2.26,0.446,,0.177,5.4,,314.38,46.09,2.34,59.09,,0.584,1.8,2.41,6.63,<0.01,5.44,1.011
,10434.4821042278,15.6,10.92,306.96,88.7,0.28,445,,155.3236597150608,41.3,0.459,2882,290.41,0.74,310,,,1.9,0.69,6942.01,106.58,5.23,565.2,,3.951173472401907,6.3,,158.72,4.68,1.82,6495,,456.5611139897586,664,2.03,138.6,175.8,43.61,337.1,,48.43813728024804,6.7,2.68,63.88,5.8,0.75,128.1,,1.287446958257954,0.5,0.046,418.64,0.04,0.7,8.68,,0.09491548499955064,1.2,0.028,170.78,2.32,2.69,2.844,,0.4519073636364621,2,3.29,,<0.13,0.58,13.29,,0.01928165848613105,bdl,0.022,,<0.01,0.62,0.176,,6.161354039900204,5.8,1.162,273.09,49,3.72,35.05,,0.6639533074120274,1.2,1.223,5.63,<0.01,15.27,5.245
,455.5,36,11.02,658.6,11.92,0.13,1439,,162.5,60,18.58,2385.9,121.15,0.19,225.1,,11.65,1.8,15.85,8938.88,71.2,5.46,1116,,6.863,4.5,,104.51,2.66,1.52,1539,,230.1,670,2.4,96.09,413.3,5532.66,339.5,,56.14,bdl,23.33,50.1,5.3,17.48,135.7,,0.206,1,,15.42,<0.01,0.2,3.62,,11.6,3.1,,28.95,2.53,0.92,0.891,,0,6.3,1.57,,<0.13,2.44,7.368,,2.707,0.1,,,<0.01,4.48,0.064,,20.21,14.1,,283.48,52.97,0.79,14.09,,4.451,2.8,2.44,6.44,<0.01,0.29,15.37
,12403,27.4,11.53,529.24,9.68,1.2,236.8,,167,42.4,39.54,2135.02,114.74,3.31,56.84,,0.1073,2.1,,5645.54,40.43,5.49,124.1,,0.33815,2.2,,119.66,2.26,1.91,1.585,,230.1945,672,1.86,101.15,378.4,754.42,343.4,,11,4.4,24.66,43.69,4.9,1.54,37.45,,0.0129,0.9,,13,<0.01,0.44,0.44,,0.01505,3.8,,25.21,2.86,345.63,0.957,,0.09995,5.5,0.36,,<0.13,0.11,14.93,,,0.1,,,0,0.07,0.013,,0.02775,10.6,0.077,234.59,57.32,13,4.482,,0.0124,4.1,0.0195,5.43,<0.01,0.9,3.183
,4846,20.3178157159294,11.6,543.53,105.16,220.6,603.1,,178,102.004571274477,16.1,2243.08,352.07,100.4,695.9,,0.10295,7.59834675705067,14.6,5667.56,126.16,5.509,23.41,,0.25875,187.3854699489,6.3,143.67,2.35,41.59,1117,,86.7711,676.4690828521,12.3,92.15,190.9,5.715,354.8,,5,b.d.l.,48,46.55,6.8,0.068,267,,0.0258,0.612432152469317,3.24,24.33,0.05,2.767,8.675,,0.0336,2.28399161937796,0.025,32.39,2.97,0.133,0.28,,0.074,b.d.l.,0.5,,<0.13,,22.46,,,b.d.l.,0.1,,<0.01,0.006,0.753,,0.0228,14.3131276253771,0.511,304.48,61.83,107.2,8.548,,0.0064,b.d.l.,0.155,6.88,<0.01,4.679,14.28
,12570,39,11.7,715.02,11.25,,63.78,,186.2,34.9,159,2252.9,159.78,0.26,446,,89.43,2.3,22.9,7370.33,47.53,6.34,645,,32.48,2.2,5.54,90.72,0.23,1.33,2017,,5361,700,5.6,94.61,601.9,6116.21,356.7,,52.79,5.4,8.2,38.37,10.3,3.78,87.37,,0.041,0.5,5.74,18.51,<0.01,0.46,2.542,,0.619,2.8,0.025,25.39,4.25,0.19,0.78,,0,2.7,0.5,,<0.13,2.52,6.505,,7.356,0.1,0.1,,<0.01,2.51,0.27,,1.641,9.1,3.02,231.74,71.46,1.43,11.01,,3.357,1.9,0.01,4.87,<0.01,11.63,11.6
,19570,25.01,18.9,636.18,9.91,0.12,21.83,,196.3,170.86,4.1,2014.18,122.16,0.24,213.9,,84.97,9.38,17.3,7308.78,52.55,6.37,501.4,,18.09,b.d.l,5.9,83.34,9.68,1.5,50.05,,8421,707.1,4.94,84.24,460.9,1491.38,357.5,,40.52,54.2,58,41.69,6.6,22.56,2.292,,15.37,b.d.l,5.96,13.75,<0.01,0.57,4.648,,2.578,7.85,0.025,25.4,3.09,0.97,10.03,,0,10.21,0.5,,<0.13,26.47,5.164,,4.118,0.309,0.1,,<0.01,0.58,0.476,,6.974,27.71,1.97,245.26,55.42,24.85,47.15,,7.778,15.23,0.01,5.23,0.01,1.75,0.531
,1600,17.26,20.02,537.53,7.53,0.3,1.622,,200,843.35,0.41,2319.48,74.9,0.49,202.9,,298.58,b.d.l,,2362.58,37.9,6.73,11.19,,3.8,b.d.l,5.59,128.43,0.42,0.96,213.3,,1.1,707.62,1.91,93.37,462.3,37.16,366.1,,21.10259928623442,77.24,18.97,45.22,4.7,13.18,65.93,,0.029,b.d.l,,16.35,<0.01,,0.451,,bdl,2.07,,34.31,3.17,,1.345,,7.795798828926715,16.59,0.42,,<0.13,1.47,17.08,,0.024,0.096,,,<0.01,0.63,0.018,,1.7,7.86,,322.77,41.67,,34.22,,0.36,6.14,,6.92,0.02,0.29,7.503
