Co,Co,Co,Co,Co,Co,Co,Co,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,As,As,As,As,As,As,As,As,Se,Se,Se,Se,Se,Se,Se,Se,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Te,Te,Te,Te,Te,Te,Te,Te,Au,Au,Au,Au,Au,Au,Au,Au,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Bi,Bi,Bi,Bi,Bi,Bi,Bi,Bi
3700,333.5,36.5625414950147,0.075,693.36,10.74,34.22,127.8571969657605,8500,23.69,47.1252865164698,1.2,648.23,502.84,1.107,,1.23,12.88,42.0676853407397,111.52,340.85,1573.7,0.185,,100,2.315,b.d.l.,,17.74,505.15,0.451,,23,45.98,105.229273162555,,330.53,313.6,0.208,1.2671678298958,42,17.42,1.4853775545335,35.55,1.87,88,0.056,136.5833816345823,,0.023,11.5949539214084,,25.59,32.81,0.384,,,0.023,b.d.l.,,80.33,33.36,0.008,,0.66,0,11.3207273858573,0.26,,7.28,2.41,2.471230616971572,0.22,4.281,1.05538295666906,,,<0.01,,0.03967795041776086,200,0.097,53.1010162536147,0.045,646.09,152.83,0.232,,,0.006,b.d.l.,0.051,26.41,6.16,0.029,0.06725676144796532
18800,12700,174,0.077,707.1,265.83,293.4,334.5,8500,26.91,317,,806.89,515.93,117.8,216.2,4.34,311.1,124.6,0.208,426.69,589.82,0.188,196.8,100,28.08,47.9,,18.05,540.45,0.268,4.871,23.6,2398,106,9.51,341.91,459.88,7.2,1.46,,12.76,7.5,11.85,2.13,536.95,0.06,1059,,5.876,4.9,,34.41,<0.01,0.054,1.733,,0.409,35.4,,121.03,29.88,,0.116,0.95,0,24.7,0.3,,<0.13,,0.367,0.22,22.18,1,,,0.93,,0.015,100,5.842,360,,924.27,<7.2,2.796,138.1,,4.397,11.3,0.016,37.19,<0.01,0.033,1.116
2100,19280,105,0.086,563,132.22,49.51,8.435784060314882,200,28.18,21.1,,573.59,247.07,0.915,,2100,4.038,18.3,1.96,322.14,357.7,0.197,0.07101548598106207,100,2.565,1.2,1.91,23.48,548.71,0.38,,24,60.41,108,1.05,431.14,245.63,0.049,1.495265563872896,,94.26,92.7,7.98,3.2,495.58,0.101,58.93605721981042,200,0,0.1,,25.06,4.28,0.451,0.519866221267347,,0,6.7,0.079,91.78,12.18,,,2.88,0,1.3,2.65,,12.16,15.58,0.2354827447570591,,13.45,bdl,0.146,,<0.01,0.051,,100,0,2.3,,767.92,17.27,0.829,,,0.008,bdl,,27.43,<0.01,0.045,0.04926305010854698
18800,5200,199.0125,0.091,703.52,39.17,22.9,12.37818439218163,500,30,1.75875,,799.49,142.83,22.58,,0.55,18.76,2687.635,0.383,449.72,76.8,0.207,,100,2.3,3.035,,19.84,982.26,0.333,,24,360,115.7625,,315.93,95.14,6.597,1.495265563872896,94,16.70643185102025,245.2025,7.23,2,276.96,3.492,259.1730746059507,,0.17,3.58975,,34.77,2.61,,,,0.46,0.4925,,119.69,15.19,,1.054648974067985,0.2,0.16935,6.744499999999999,,,<0.13,0.14,1.447288130292436,0.05,0.07,0.042,0.037,,<0.01,,0.1305173403148423,200,8.5,9.2263375,0.492,954.23,23.07,,6.930819980761016,,19,12.9525,0.0144,36.39,<0.01,,0.04130329604846127
19900,497,148,0.096,679.6,35.01,37.04,239.6739575119678,200,30.07,215,,708.52,169.12,0.253,,6.57,3.612,134,73.53,409.37,98.18,0.222,,100,2.946,59,,21.2,1066.34,0.544,,24,36.91,121,,291.58,93.07,18.02,1.540310816871115,65,45.38,6.7,24.84,1.48,200,0.038,224.2954837255619,b.d,0,4.1,0.094,30.71,<0.01,2.954,0.2386370518035256,2.47,0.023,28,,106.54,<11.60,0.074,,1.06,0,25.2,,,<0.13,5.58,0.7752593344828308,0.09,1.092,1,,,<0.01,0.095,0.05209350903245903,200,0.011,337,0.076,865.29,25.74,2.267,,,0.013,10.4,0.237,33.03,<0.01,0.32,0.04952456942037536
210,17000,145.21,0.108,2708.71,96.08,183.5,,400,32,2686.28,,2283.78,433.43,13.83,,450,2.81,11.68,,4367.59,265.67,0.228,,920,1.3,b.d.l,,50.13,295.22,0.389,,40,38,132.46,2.16,530.58,491.9,197.4,1.549398995423634,280,93.27,37.13,84.6,33.94,389.03,1.795,255.3251503587626,7.4,0.0078,0.51,0.0185,14.42,5.91,,0.1462340310451853,1.22,bdl,4.48,,84.23,85.65,,0.2534506585013385,910,0.0938,b.d.l,0.51,,<0.13,0.15,0.8619209218853913,0.2,0.047,0.278,,,<0.01,,0.07672241066597493,652,0.14,582.61,,540.58,28.05,,6.944624750726003,36.07,0.2,5.16,0.0162,1.1,<0.01,,0.02800348058219489
520,18550,210,0.123,2332.72,263.15,21.9,284.0429235766808,20,35,300,,2292.76,672.59,63.64,1.8,340,2.945,159,0.37,379.78,643.43,0.229,0.01885397014318388,4630,3.536,46.8,,24.59,469.99,0.411,,40,79.81,136,0.98,465.16,181.26,8.037,1.561734362939115,,81.03,bdl,3.54,29.96,368.41,2.851,583.5759582332339,5,0,4.8,,13.05,12.24,0.034,,8.47,0.129,36.9,0.053,96.69,25,0.01,,,0,25.4,3.93,,<0.13,0.07,2.877806772409419,0.2,221.9,0.8,,,<0.01,,0.03058410765057663,565,0.03,362,,575.12,52.65,,7.554802390346509,18.58,0.46,13,,0.98,<0.01,,0.2575885809661749
590,,784.6388082201652,0.138,810.78,33.83,23.09,157.7962842879999,120,35.59,518.7439235322989,,1032.67,151.02,16.64,,360,14.84,12.24572231528671,,2210.56,427.57,0.03,,6420,3.381,7.31315223857928,,30.05,581.92,0.523,,40,577,139.5266502159002,1.95,190.52,154.78,43.2,1.582607798010621,,110.1,24.09074944034785,2.42,11.69,125,2.812,206.2733575198842,10.7,0.088,107.7437303614771,0.066,12.14,<0.01,,,7.12,0,1.037213831053161,,59.6,53.87,,,,0,63.33053340745828,8.79,,<0.13,0.11,1.686671966412983,0.06,15.1,0.4207634060878514,,,<0.01,0.023,0.0278080741193058,402,0.052,101.6283237921612,0.169,245.36,59.89,,,9.72,0,66.91149208241134,0.023,0.65,<0.01,,0.0956610062351035
2300,9609,1260,0.157,914.75,90.52,11.03,182.6354104735871,4900,37.14,1760,,1211.76,526.9,18.07,,15.6,7.145,590,,1480.4,408.64,0.06,,100,15.57,2.1,,16.46,132.17,0.144,10.64182523863804,48,3077,230,1.68,169.81,828.78,33.28,1.586280998556195,18.6,16.21,49,69.85,13.63,490.4,1.306,188.3941216412177,2.62,0.839,0.3,,8.68,8.33,0.036,0.2390777539960749,11.4,0.163,9.8,,40.51,28.2,,0.218473498865448,2.88,0,bdl,,,<0.13,,2.329711789572468,0.07,9.46,0.1,0.036,,<0.01,,0.09624979021350627,100,1.384,4.4,1.27,210.84,76.63,0.102,7.856999276364849,13.42,3.46,0.6,0.779,0.53,<0.01,0.075,0.3722209022300135
2400,11000,745.0369574419636,0.16,1195.59,286.06,12.44,3.327018435672564,6899.999999999999,2.5,922.6254830750022,1.35,1244.8,625.27,0.097,,2.89,4.1,28.26961344076979,33.1,5308.68,396.03,0.063,0.1110367100106756,100,1.4,4.086639316029991,8.6,126.66,722.92,0.382,,48,640,235.1839528843893,387.6,220.44,277.18,1.959,1.61193657032875,61.4,80.71963090982734,27.93685916124622,119,15.15,846.76,0.024,100.3657563954465,0.3,0.019,14.3092984668965,3.76,11.51,<0.01,0.077,0.2510268653487184,2.8,0.06,2.482266121876591,0.26,53.43,30.01,,,0.2,0.16935,40.99216820506082,0.5,,<0.13,,0.6516680298317523,0.12,0.03,2.453665700618693,0.1,,<0.01,,,100,0.15,17.55966200980562,34,387.61,84.88,0.009,,12.78,0.98,9.760902303157973,0.72,1,<0.01,0.009,
