Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOA,440.0,310.0,270.0,1160.0,150.0,70.0,3.7,14.19,380.0,0.06,541.0,10.87
IOA,16900.0,3414.285714285714,6.66,100.0,158.0,3.0,2.957142857142857,4.192857142857143,0.74,0.22,200.0,13.481428571428571
IOA,800.0,2952.8571428571427,180.0,2558.5714285714284,137.0,260.0,4.5,46.65,271.5142857142857,0.1,718.0,7.56
IOA,810.0,765.7142857142857,160.0,2740.0,241.42857142857142,330.0,5.1,13.83,193.26857142857145,0.07,722.0,28.63
IOA,810.0,692.8571428571429,1400.0,3240.0,254.28571428571428,105.71428571428571,2.8,46.35,274.69714285714286,0.18,537.0,15.81
IOA,830.0,727.1428571428571,360.0,3040.0,150.0,120.0,0.9,9.9,590.0,0.17,634.0,18.21
IOA,890.0,270.0,540.0,1370.0,224.28571428571428,150.0,8.6,16.09,660.0,0.08,658.0,10.52
IOA,910.0,120.0,520.0,1150.0,244.28571428571428,40.0,5.6,43.51,408.98285714285714,0.2,630.0,12.01
IOA,920.0,3000.0,340.0,1370.0,584.2857142857143,90.0,2.2,3.7,550.0,0.2,678.0,18.63
IOA,940.0,370.0,130.0,2970.0,172.85714285714286,30.0,7.5,24.38,20.0,0.11,425.0,23.13
IOA,940.0,340.0,380.0,2505.714285714286,265.7142857142857,170.0,5.6,36.78,398.98285714285714,0.15,477.0,8.56
IOA,980.0,7700.0,160.0,4790.0,612.8571428571429,160.0,8.7,34.62,40.0,0.06,699.0,18.395714285714284
IOA,980.0,660.0,3170.0,3070.0,231.42857142857142,20.0,11.0,0.21,220.0,0.2,622.0,32.49
IOA,1000.0,120.0,2640.0,6070.0,578.5714285714286,60.0,8.1,23.22,340.0,0.06,393.0,13.84
IOA,1020.0,2967.1428571428573,414.40000000000003,2065.714285714286,203.78571428571428,20.0,3.3,15.76,2.88,0.21,564.0,13.67
IOA,1050.0,80.0,180.0,1160.0,310.0,80.0,3.8,23.8,420.0,0.12,618.0,23.45
IOA,1100.0,3000.0,1621.4285714285713,100.0,493.7142857142857,181.42857142857142,34.08571428571429,100.0,280.0,0.26,496.57142857142856,30.32
IOA,1120.0,370.0,1840.0,3447.1428571428573,244.28571428571428,120.0,6.4,43.37,420.0,0.17,630.0,24.27
IOA,1150.0,340.0,7950.0,3190.0,228.57142857142858,20.0,7.4,6.68,630.0,0.22,674.0,13.098571428571427
IOA,2900.0,7700.0,1025.3071428571427,100.0,401.5,70.91428571428571,5.1428571428571415,100.0,380.0,0.26,362.0,22.01
IOA,980.0,660.0,800.0,460.0,160.0,490.0,11.5,10.06,0.74,0.19,409.0,30.32
IOA,420.0,120.0,90.0,2520.0,170.0,160.0,6.2,27.84,1010.0,0.15,600.0,10.0
IOA,530.0,410.0,501.42857142857144,920.0,170.0,240.0,0.3,30.54,420.0,0.06,714.0,6.74
IOA,800.0,290.0,1607.142857142857,4200.0,170.0,91.42857142857143,7.3,18.64,420.4114285714286,0.17,499.0,1.58
IOA,990.0,330.0,1815.7142857142858,1150.0,180.0,120.0,6.7,18.7,361.84000000000003,0.15,421.0,20.74
IOA,674.2857142857143,845.7142857142857,90.0,5460.0,180.0,150.0,3.7,16.83,336.1257142857143,0.16,423.0,2.45
IOA,1020.0,310.0,0.0,0.0,190.0,380.0,11.5,36.47,70.0,0.21,704.0,17.705714285714286
IOA,400.0,60.0,780.0,5820.0,200.0,104.28571428571429,1.1,29.69,420.0,0.14,617.0,22.845714285714287
IOA,870.0,670.0,200.0,1140.0,220.0,120.0,0.1,17.22,308.98285714285714,0.12,656.0,13.95142857142857
IOA,870.0,692.8571428571429,1400.0,3240.0,240.0,104.28571428571429,9.6,26.32,254.69714285714286,0.09,529.0,16.599999999999998
IOA,1180.0,434.2857142857143,1645.7142857142858,5370.0,240.0,300.0,0.4,28.41,317.55428571428575,0.07,497.0,12.659999999999998
IOA,700.0,190.0,70.0,5730.0,250.0,20.0,0.4,27.77,180.0,0.14,534.0,13.27
IOA,420.0,825.7142857142857,290.0,8480.0,290.0,90.0,3.5,26.93,295.7142857142857,0.08,563.0,17.69
IOA,770.0,250.0,677.1428571428571,2080.0,300.0,120.0,0.4,45.15,320.4114285714286,0.21,636.0,18.009999999999998
IOA,18000.0,3414.285714285714,7.16,100.0,339.0,24.3,0.8,4.85,1.54,0.09,100.0,13.481428571428571
IOA,940.0,560.0,660.0,2518.5714285714284,340.0,167.14285714285714,7.4,18.32,110.0,0.16,547.0,22.147142857142857
IOA,17500.0,3414.285714285714,19.9,100.0,358.0,46.9,0.76,0.41,0.38,0.05,100.0,13.481428571428571
IOA,1120.0,140.0,340.0,2905.714285714286,380.0,160.0,5.7,2.65,780.0,0.13,516.0,10.581428571428571
IOA,710.0,1300.0,608.5714285714286,3858.5714285714284,410.0,250.0,0.8,15.18,110.0,0.06,428.0,15.71142857142857
IOA,1080.0,170.0,668.5714285714286,3375.714285714286,410.0,310.0,0.2,17.79,384.69714285714286,0.1,550.0,14.004285714285714
IOA,1200.0,6034.285714285715,100.0,100.0,428.0,300.0,200.0,100.0,162.55857142857144,0.09857142857142856,100.0,17.412857142857142
IOA,2900.0,3400.0,213.0,100.0,428.0,16.9,2.39,0.76,0.55,0.11,100.0,18.981428571428573
IOA,15900.0,3414.285714285714,13.3,100.0,473.0,63.2,2.76,4.192857142857143,0.0,0.07,100.0,13.481428571428571
IOA,810.0,440.0,130.0,1140.0,550.0,770.0,0.1,32.48,377.14285714285717,0.21,694.0,18.034285714285716
IOA,18000.0,3414.285714285714,13.9,100.0,776.0,28.3,7.61,4.92,2.88,0.21,100.0,13.481428571428571
IOA,470.0,738.5714285714286,20.0,1370.0,830.0,100.0,7.1,9.32,420.0,0.19,504.0,1.17
IOA,1280.0,100.0,290.0,0.0,1470.0,110.0,8.9,48.47,280.0,0.12,506.0,12.1
IOA,980.0,664.2857142857143,1100.0,2972.8571428571427,2500.0,330.0,6.9,19.2,333.2685714285714,0.11,472.0,31.5
IOA,1280.0,100.0,470.0,2040.0,6430.0,90.0,3.5,33.63,284.69714285714286,0.07,747.0,1.89
IOA,250.0,658.5714285714286,337.14285714285717,3880.0,114.28571428571429,210.0,8.5,35.01,380.0,0.13,711.0,21.72
IOA,300.0,818.5714285714286,270.0,5270.0,162.85714285714286,290.0,2.0,14.94,362.85714285714283,0.2,385.0,19.91
IOA,350.0,290.0,347.14285714285717,5140.0,134.28571428571428,70.0,3.1,10.37,220.0,0.11,648.0,11.56
IOA,350.0,825.7142857142857,20.0,1630.0,207.14285714285714,148.57142857142858,6.6,4.52,217.14285714285714,0.2,751.0,27.93
IOA,390.0,518.5714285714286,1540.0,9340.0,555.7142857142857,230.0,5.6,13.03,850.0,0.12,435.0,10.77
IOA,410.0,80.0,4080.0,9340.0,520.0,210.0,0.1,4.55,990.0,0.19,632.0,36.92
IOA,430.0,190.0,90.0,460.0,85.42857142857143,120.0,0.8,26.34,338.57142857142856,0.06,512.0,5.46
IOA,450.0,818.5714285714286,372.85714285714283,3880.0,161.42857142857142,180.0,3.3,15.19,295.7142857142857,0.15,628.0,13.79
