,Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
1107,Orogenic Au,180,28.3,17.5,1.4,65.3,135,0.1,1,1.4,12.91106534045501,3.8,0.1
1108,Orogenic Au,222,353,165,39.6,143,29.601918837333674,5,38.2,29.5,1.3,404,12.1
1109,Orogenic Au,34.25325419,37.47042307,22.61640768,110.03067653664175,145.815298,29.601918837333674,5.443852226,35.161402031854244,13.25006,0.563572493,6.607755326,10.518049127419935
1110,Orogenic Au,258.7859309916666,7.797927630166666,1524.129473033333,109.2288301241667,148.2071258566667,4.182344870833333,9.915609065249999,9.231800792,0.2422580911666667,0.1945110219166667,38.58560675,25.23543632133334
1111,Orogenic Au,552.5168508436687,991.2825757439492,5.193657108323303,1.508497473859365,167.6231905759289,7.958337803389032,0.05010156,2.079363233443055,3.188409113336474,0.1256976068167177,18.04825196426519,8.760770447258794
1112,Orogenic Au,186.5776036,224.3932282,11.90666758,110.03067653664175,175.779617,29.601918837333674,0.074734423,2.711909612,0.320372543,0.056755161,30.65832662,10.518049127419935
1113,Orogenic Au,443.1024797598564,1548.983372980521,83.18508185382856,16.90408015,184.1534853577192,9.933126389591408,0.4057403410334852,7.702284970877145,7.353459272100218,23.44190175722945,40.48989417563732,2.623917221552615
1114,Orogenic Au,830,1520,2000,15,190,71,0.9,15.1,24.592746831149377,0.1,6.9,0.5
1115,Orogenic Au,208.0393182967372,182.8540664754127,111.5907942404472,10.31867617517819,212.8483648,2.998604836,1.954667992372181,1.221789502194471,0.1919550523844588,0.120548937,62.18439170661441,0.2156947453017956
1116,Orogenic Au,126,12.2,15.7,1.7,66,142,0.1,0.3,2.3,12.91106534045501,7.7,0.2
1117,Orogenic Au,360,35.6,15.5,1.4,66.5,136,0.1,0.4,1.7,12.91106534045501,5.9,0.1
1118,Orogenic Au,167,322,97.3,37.1,70,14.7,3.9,50.5,11.8,0.8,362,7.3
1119,Orogenic Au,173,358,97.2,34,70.3,13.6,3.7,54.2,13.9,0.8,350,6.9
1120,Orogenic Au,191,337,111.8,41.3,73.6,8.4,4.1,53.2,15,0.8,370,8
1121,Orogenic Au,201,387,94,67.3,74.3,7,2.9,41.9,13.6,0.8,366,7.4
1122,Orogenic Au,104.6583804,210.1904247,30.8740702,17.39958682,456.1500025,29.601918837333674,4.766570357,14.49061597,7.133018732,6.942473126,127.8429308,10.518049127419935
1123,Orogenic Au,1.204230572,364.3733715125008,942.1469894,110.03067653664175,492.197383,0.883175148,1.18422914,35.161402031854244,2.524666125,0.946964002,4.74815419,10.518049127419935
1124,Orogenic Au,113.9239427,135.897858,25.38633172,110.03067653664175,496.27537,29.601918837333674,9.418467013,35.161402031854244,11.04257376,6.699516686,24.38728144,10.518049127419935
1125,Orogenic Au,8.53,70.65,7.72,110.03067653664175,497.11,60.77,29.84,2.4,14.28,0.233,179.6,166.66
1126,Orogenic Au,158.1663673090098,19.56307566,1008.118890551978,19.44701593848533,497.8595572856086,23.46866667,1.620288718901215,24.47384930479587,0.4256798848651045,0.1200185948585333,154.9939357767728,21.24622933316148
1127,Orogenic Au,36,37.5,1.4,6.7,517,4.2,0.1,1.3,24.592746831149377,12.91106534045501,2.4,0.7
1128,Orogenic Au,94,43,3.6,4.8,520,4.9,0.2,5.6,4,0.1,9.8,3.1
1129,Orogenic Au,49.22545059,65.1165176,28.74304013,110.03067653664175,529.5693336,29.601918837333674,6.368922001824422,35.161402031854244,2.416835722,6.651812106,3.889592635,10.518049127419935
1130,Orogenic Au,24,29.6,2.1,3.2,562,3.1,0.9,2.6,6.7,0.1,9,3.2
1131,Orogenic Au,18.1,27.5,2.4,2.3,571,4.5,0.4,2.3,3.3,0.2,8.2,1.9
1132,Orogenic Au,37,30.7,3.1,2.9,572,29.601918837333674,0.6,3.3,4.5,0.1,9.7,3.2
1133,Orogenic Au,60.16,306.31,4696.55,110.03067653664175,578.73,29.601918837333674,3.14,13.71,0.82,0.295,503.05,9.7
1134,Orogenic Au,13.5,33.8,2.3,3,593,6.4,0.2,0.8,24.592746831149377,12.91106534045501,3.4,0.8
1135,Orogenic Au,37,41.2,1.9,4.3,594,29.601918837333674,0.8,4.3,6.6,0.1,12,3.4
1136,Orogenic Au,13.3,32.6,2.3,2.5,597,5.4,0.6,2,4.6,0.1,1018,2.7
1137,Orogenic Au,69,36.8,1.2,1.7,810,4.5,0.4,1.8,24.592746831149377,0.1,6.7,1.1
1138,Orogenic Au,126.6437207,133.0834677,40.26819613,110.03067653664175,865.5752694,29.601918837333674,13.84163935,9.265573522,7.983533293,6.610092666,46.13898092,10.518049127419935
1139,Orogenic Au,95,44.6,1.2,101,870,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,164.91622133962267,10.518049127419935
1140,Orogenic Au,93,68,14.7,2.7,880,29.601918837333674,0.5,2.3,24.592746831149377,0.1,2.3,10.518049127419935
1141,Orogenic Au,2.52,364.3733715125008,198.99468991307876,110.03067653664175,907.63,80.56,6.368922001824422,2.02,10.08,0.086,8.37,3.82
1142,Orogenic Au,270,2090,470,8.6,920,29,0.4,11.1,24.592746831149377,0.1,3.8,0.2
1143,Orogenic Au,156,1110,100,3,930,49,0.5,40,24.592746831149377,0.4,5.9,0.5
1144,Orogenic Au,151.87,245.57,11.5,110.03067653664175,930.14,24.82,0.173,0.69,2.74,0.126,43.38,6.85
1145,Orogenic Au,44.49559484,103.4326323,5.971731368,110.03067653664175,939.3371837,29.601918837333674,0.192876877,2.028946528,24.592746831149377,0.604291133,12.02851954,10.518049127419935
1146,Orogenic Au,1.16,364.3733715125008,2.56,110.03067653664175,982.08,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,0.089,0.072,0.0254
1147,Orogenic Au,390,2000,150,1.3,990,29,0.2,8,24.592746831149377,0.1,3.8,0.3
1148,Orogenic Au,350,1720,24.5,1.8,1000,33,0.2,13.8,24.592746831149377,0.2,6.4,0.4
1149,Orogenic Au,2.33,364.3733715125008,4.61,110.03067653664175,1005.11,66.36,6.368922001824422,2.3,16.25,0.184,9.44,4.98
1150,Orogenic Au,389.2,267.35,37.76,110.03067653664175,1007.58,117.59,18.95,27.87,2.83,0.357,256.74,50.15
1151,Orogenic Au,5.31,140.39,3.71,110.03067653664175,1043.25,39.49,6.368922001824422,2.33,9.29,0.15,79.58,9.86
1152,Orogenic Au,213.59,711.78,15.12,110.03067653664175,1044.44,35.03,0.91,11.12,1.37,0.208,169.22,5.34
1153,Orogenic Au,66,59,0.9,1.2,1058,5.9,0.4,0.5,24.592746831149377,0.1,3.2,0.8
1154,Orogenic Au,135.49,265.79,346.82,246.98,1103.55,29.601918837333674,3.31,66.42,3.78,0.451,499.46,19.58
1155,Orogenic Au,52.37,364.3733715125008,12.65,110.03067653664175,1103.77,72.72,0.192,8.62,16.64,0.44,49.37,20.69
1156,Orogenic Au,229.01,761.22,2162.62,110.03067653664175,1109.58,35.39,0.97,7.06,1.46,0.382,52.98,6.88
1157,Orogenic Au,79.33,510.14,10.01,13.19,1118.17,28.45,0.78,7.08,1.32,0.79,37.99,4.97
1158,Orogenic Au,20.26016369,101.9441323,12.73341077,22.31612874,1124.386588,29.601918837333674,2.935564235,35.161402031854244,1.649323122,12.91106534045501,154.6681409,0.014040541
1159,Orogenic Au,93.72,2074.94,198.99468991307876,110.03067653664175,1126.38,62.56,6.368922001824422,3.25,8.99,0.065,10.21,5.27
1160,Orogenic Au,483.1775096351508,339.1633455164613,11.20971299940642,21.25095366,1157.869602196694,9.731875959304245,1.424415434963682,100.2010657608465,0.5540523864617954,0.7165802289806634,8.356107417715144,0.04110548
1161,Orogenic Au,58,47,1.7,3,1180,29.601918837333674,6.368922001824422,0.3,24.592746831149377,12.91106534045501,0.5,10.518049127419935
1162,Orogenic Au,874.43,287.13,231.61,110.03067653664175,1182.46,29.601918837333674,2.27,42.86,2.86,0.417,329.3,13.95
1163,Orogenic Au,214.42212773499318,364.3733715125008,198.99468991307876,110.03067653664175,1229.24,62.46,6.368922001824422,0.087,11.99,0.053,0.34,0.203
1164,Orogenic Au,42,46.1,1.9,5.2,1250,3.2,0.1,0.8,24.592746831149377,12.91106534045501,1.3,10.518049127419935
1165,Orogenic Au,593.2712362,440.1162097,130.4300377,110.03067653664175,1261.031727,29.601918837333674,0.98248189,35.161402031854244,10.29580126,29.1881005,16.32249249,10.518049127419935
1166,Orogenic Au,453.79,257.12,24.77,110.03067653664175,1271.71,29.601918837333674,0.87,49.57,1.36,0.401,181.5,6.38
1167,Orogenic Au,73,41.7,1.8,2.4,1280,29.601918837333674,0.1,0.4,24.592746831149377,12.91106534045501,164.91622133962267,10.518049127419935
1168,Orogenic Au,109,54,1.4,7,607,3.7,0.1,0.5,24.592746831149377,12.91106534045501,1.4,0.3
1169,Orogenic Au,24,36.2,2.5,2.2,611,4.8,1.7,3.1,9.3,0.3,15.9,4.5
1170,Orogenic Au,36,46.2,1.9,4.2,627,3.9,0.6,2.5,3.4,0.1,10.7,2.2
1171,Orogenic Au,118,54,1.4,5.1,630,29.601918837333674,0.2,1.2,2.2,0.1,3.1,0.9
1172,Orogenic Au,37,32.9,1.8,3.2,649,4,0.4,0.8,3,0.1,5.4,1.8
1173,Orogenic Au,15.6,41.3,1.9,6.3,664,6.7,0.5,1.2,2,12.91106534045501,5.8,1.2
1174,Orogenic Au,36,60,1.8,4.5,670,29.601918837333674,1,3.1,6.3,0.1,14.1,2.8
1175,Orogenic Au,27.4,42.4,2.1,2.2,672,4.4,0.9,3.8,5.5,0.1,10.6,4.1
1176,Orogenic Au,20.31781572,102.0045713,7.598346757,187.3854699,676.4690829,29.601918837333674,0.612432152,2.283991619,24.592746831149377,12.91106534045501,14.31312763,10.518049127419935
1177,Orogenic Au,39,34.9,2.3,2.2,700,5.4,0.5,2.8,2.7,0.1,9.1,1.9
1178,Orogenic Au,25.01,170.86,9.38,110.03067653664175,707.1,54.2,6.368922001824422,7.85,10.21,0.309,27.71,15.23
1179,Orogenic Au,17.26,843.35,198.99468991307876,110.03067653664175,707.62,77.24,6.368922001824422,2.07,16.59,0.096,7.86,6.14
1180,Orogenic Au,35,37.9,2.3,2.4,711,3.9,0.8,3,5,0.1,11,3.2
1181,Orogenic Au,99.71,264.28,1295.94,110.03067653664175,711.55,70.91,10.76,27.27,2.98,0.176,1078.92,39.1
1182,Orogenic Au,278.18,336.16,206.74,110.03067653664175,765.77,30.93,0.8,11.1,24.592746831149377,0.4,48.12,4.42
1183,Orogenic Au,169.8474537538402,249.5417955889747,306.6738663587263,7642.148491173854,766.5523985526485,14.27952852791918,13.39856013021207,119.5596635784437,141.4103957,7.592004490260962,240.4132808945385,1.696433840843223
1184,Orogenic Au,2377.748882576429,36.09532274,321.4052636206429,2235.315267,776.8360772232144,185.8716574089285,49.26367218514286,142.3588545982143,0.2550941359285714,0.1803459402857143,8694.087015056739,102.5742803809286
1185,Orogenic Au,4.6,45,1.7,1.3,1540,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,164.91622133962267,0.1
1186,Orogenic Au,254,373.45,16.21,110.03067653664175,1575.81,19.57,1.59,8.25,1.62,0.216,335.92,7.97
1187,Orogenic Au,55,62,1.6,1.3,1580,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,164.91622133962267,10.518049127419935
1188,Orogenic Au,325.41,1519.74,5.3,110.03067653664175,1591.38,48.63,0.108,3.14,4.2,0.135,12.04,8.43
1189,Orogenic Au,84,209,10.9,2.2,1610,18.7,6.368922001824422,35.161402031854244,2,12.91106534045501,1.8,0.2
1190,Orogenic Au,377.02,516.29,31.91,110.03067653664175,1623.14,29.601918837333674,2.01,15.61,1.57,0.405,102.31,9.49
1191,Orogenic Au,49,46.1,1.1,1.1,790,4.7,0.1,0.5,24.592746831149377,12.91106534045501,1.9,0.2
1192,Orogenic Au,11.52,851.51,4.07,110.03067653664175,797.87,54.42,0.116,2.52,12.11,0.071,6.48,4.15
1193,Orogenic Au,155.59,481.51,988.82,110.03067653664175,1290.72,29.601918837333674,4.7,9.73,24.592746831149377,0.51,233.79,14.71
1194,Orogenic Au,1646.022089137335,333.3675839600597,26.31298282037411,13.30745059720626,1304.165834,31.74813835771705,1.268659998982102,1.509538009861497,27.11820174545425,1.460870313309127,86.44614996,202.7316064552189
1195,Orogenic Au,25.51,254.09,6.14,110.03067653664175,1317.75,57.9,0.4,1.12,3.99,0.185,135.3,7.17
1196,Orogenic Au,14.1,47,2,1.8,1350,29.601918837333674,0.1,0.3,24.592746831149377,12.91106534045501,0.5,10.518049127419935
1197,Orogenic Au,21,100,15.6,1.8,1370,29.601918837333674,0.2,0.5,24.592746831149377,0.2,2.9,10.518049127419935
1198,Orogenic Au,211.1,374.63,23.64,110.03067653664175,1391.07,30.4,2.09,9.52,2.15,0.251,597.13,9.75
1199,Orogenic Au,30,48.1,1.7,1.1,1400,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,164.91622133962267,10.518049127419935
1200,Orogenic Au,390,1810,28,1.5,1400,38,0.1,9.9,24.592746831149377,0.2,2,0.2
1201,Orogenic Au,319.59,447.16,638.62,110.03067653664175,1418.37,17.1,5.05,38.5,2.1,0.333,883.36,22.36
1202,Orogenic Au,19,45.3,1.5,1.1,1440,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,164.91622133962267,10.518049127419935
1203,Orogenic Au,60,61,3.7,9,1460,29.601918837333674,11,4.3,24.592746831149377,0.2,3,0.1
1204,Orogenic Au,410,141,12.9,4.2,1470,14.2,0.2,2.7,3.4,12.91106534045501,12.9,3.7
1205,Orogenic Au,273.27,293.05,264.17,110.03067653664175,1477.62,56.2,9.01,10.1,9.52,0.88,543.7,84.55
1206,Orogenic Au,18.7,44,1.4,2.3,1490,4.8,0.2,0.4,24.592746831149377,12.91106534045501,2,0.4
1207,Orogenic Au,780,2890,7000,140,1500,57,1.6,23.2,24.592746831149377,0.4,2.5,0.4
1208,Orogenic Au,33.39,375.77,7.76,110.03067653664175,1637.07,36.25,0.71,2.55,3.81,0.19,57.15,21.55
1209,Orogenic Au,302.71,821.66,22.13,110.03067653664175,1651.1,41.59,1.49,4.87,24.592746831149377,0.078,406.13,6.18
1210,Orogenic Au,240.41,215.01,87.91,110.03067653664175,1655.38,61.56,1.42,4.14,6,0.57,118.2,27.73
1211,Orogenic Au,6.54,364.3733715125008,198.99468991307876,110.03067653664175,1667.35,24.9,6.368922001824422,0.185,24.592746831149377,0.031,0.469,0.41
1212,Orogenic Au,213,197,92,17.4,1670,15.1,3.4,8.8,9.5,0.1,150,13.5
1213,Orogenic Au,670.89,277,477.34,26.43,1699.54,35.1,8.5,76.35,4.02,0.49,830.11,29.46
1214,Orogenic Au,141.2842099,326.5223317,384.7465365,44.91975902,2108.960866,29.601918837333674,14.40824254,34.35893461,0.842395091,0.35000282,88.30429584,10.518049127419935
1215,Orogenic Au,239,293,10.2,1.4,2170,18.9,0.1,0.8,1.5,12.91106534045501,4.2,0.7
1216,Orogenic Au,1270,410,200,28,2180,12.7,13,7.1,17.5,0.1,47.2,23.9
1217,Orogenic Au,530,340,11.3,2.2,2210,16.5,0.2,1.4,2,12.91106534045501,6.9,1.7
1218,Orogenic Au,121,89,12.3,1.9,2220,3.9,0.9,38.8,24.592746831149377,0.3,3.3,0.1
1219,Orogenic Au,32.77,801.44,10.65,110.03067653664175,1737.22,43.69,5.73,4.02,7.69,0.42,579.45,56.64
1220,Orogenic Au,15.7,64,1.5,1.5,1740,2.9,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,164.91622133962267,10.518049127419935
1221,Orogenic Au,300,166,410,210,1740,13.8,27,9.3,29,4.5,420,40
1222,Orogenic Au,491.6491549192805,34.97923151828319,431.5248882454893,71.70943677,1746.962316624142,8.515516888348168,2.246654651114666,257.4881427113169,1.230546874,0.4560742685318201,23.32548751709412,15.85281652682985
1223,Orogenic Au,471.72,607.77,22.07,110.03067653664175,1754.03,29.601918837333674,3.12,16.72,11.45,0.45,855.95,94.54
1224,Orogenic Au,6.13,255.51,198.99468991307876,10.75,1758.71,43.83,6.368922001824422,35.161402031854244,24.592746831149377,0.033,164.91622133962267,10.518049127419935
1225,Orogenic Au,40,87,1.8,1.5,1770,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,0.3,164.91622133962267,10.518049127419935
1226,Orogenic Au,1.7,73,2.6,1.8,1800,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,0.2,0.4,10.518049127419935
1227,Orogenic Au,310,1760,27,1.3,1800,29,0.1,11.6,24.592746831149377,0.1,6.7,0.3
1228,Orogenic Au,94.25000549,132.567752,72.92668488,2.755345202,1805.970185,29.601918837333674,23.58094227,10.29818075,13.292931,28.60194699,101.8501652,10.518049127419935
1229,Orogenic Au,12.3,82,1.4,1.5,1810,6.5,0.1,0.6,24.592746831149377,12.91106534045501,2.6,0.8
1230,Orogenic Au,195.54,469.56,278.98,29.36,1820.1,35.32,0.264,2.67,1.09,0.058,20.15,4.52
1231,Orogenic Au,50.25036022,82.41434114,54.61885827,8.745306407,1834.192838,29.601918837333674,6.194949568,8.063541843,10.26609141,27.92762245,224.1319456,10.518049127419935
1232,Orogenic Au,680,246,13.8,4.3,1850,15.6,0.3,1.6,2.3,12.91106534045501,7.6,2
1233,Orogenic Au,650,204,370,270,1880,11.9,27,8.3,34,3.3,340,42
1234,Orogenic Au,1302.1,326.41,651.9,39.97,1908.71,29.3,11.23,118.3,6.32,0.99,454.34,41.51
1235,Orogenic Au,1.6,68.9,198.99468991307876,110.03067653664175,1917.92,60.23,0.083,0.53,4.32,0.167,1.41,0.76
1236,Orogenic Au,440,210,460,76,1920,16.4,16.6,11.3,26.4,1.7,300,37
1237,Orogenic Au,3.89,121.01,198.99468991307876,110.03067653664175,1924.84,43.62,6.368922001824422,35.161402031854244,2.08,0.72,164.91622133962267,10.518049127419935
1238,Orogenic Au,322,180,47.3,5.9,1935,24.6,0.5,77.1,2.8,1,249,17.3
1239,Orogenic Au,590,209,720,64,1950,13.7,8.4,6.7,29,1.6,410,43
1240,Orogenic Au,130,209,200,23,1970,15.7,8.7,12.1,19.4,0.2,750,33.2
1241,Orogenic Au,330,2310,31,1.5,2000,38,0.2,55,24.592746831149377,0.2,4.2,0.2
1242,Orogenic Au,530,227,53,21,2000,13.9,40,6.5,35,0.8,38,17.7
1243,Orogenic Au,570,171,350,28,2000,15,12.8,8.6,20.7,1.3,450,34
1244,Orogenic Au,108.7771533,103.4378897,71.13604054,110.03067653664175,2018.22002,5.193598715,22.70116869,35.161402031854244,32.26559373,6.578848489,47.97232217,10.518049127419935
1245,Orogenic Au,49,88,1.9,1.2,1720,29.601918837333674,0.1,0.7,24.592746831149377,0.4,0.4,10.518049127419935
1246,Orogenic Au,1.9,68,1.7,1.5,1720,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,164.91622133962267,10.518049127419935
1247,Orogenic Au,147,820,250,4.1,2100,49,0.2,18,24.592746831149377,0.5,3.6,0.5
1248,Orogenic Au,32.59,464.17,198.99468991307876,110.03067653664175,2028.45,32.03,3.38,0.487,1.17,0.088,1164.89,16.8
1249,Orogenic Au,184,255,11.2,1.4,2040,19.1,0.1,0.5,1.3,12.91106534045501,3.9,0.6
1250,Orogenic Au,333.7,560.14,134.97,12.17,2048.07,56.6,6.86,4.35,8.28,0.369,925.19,61.52
1251,Orogenic Au,410,173,229,29.4,2050,15.3,6.4,10,30,0.8,270,29.3
1252,Orogenic Au,42.29432758,81.99882844,17.10291601,110.03067653664175,2423.972282,29.601918837333674,1.550318354,21.72143437,24.592746831149377,0.334313402,82.53504766,10.518049127419935
1253,Orogenic Au,494.09,432.5,292.01,110.03067653664175,3107.93,29.601918837333674,4.32,208.39,5.77,0.91,533.14,26.71
1254,Orogenic Au,0.1,9.3,3.9,2.6,3130,15.8,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,1,10.518049127419935
1255,Orogenic Au,135,228,29.7,4.2,3150,29.601918837333674,26.4,169,24.592746831149377,36.3,5.2,0.1
1256,Orogenic Au,0.3,19,4.1,2.2,3160,16.7,0.1,35.161402031854244,24.592746831149377,12.91106534045501,0.7,10.518049127419935
1257,Orogenic Au,1.14,0.6,3.8,1.69,3170.85,11.65,0.13,2.74,0.36,1.97,19.39,0.34
1258,Orogenic Au,468.29,608.68,142.26,69.15,3191.3,23.94,3.25,187.75,4.71,0.86,282.64,19.51
1259,Orogenic Au,47.43945053,218.6738602,18.39215404,110.03067653664175,3207.220022,29.601918837333674,1.014821548,18.29317541,9.04780184,7.757076717,65.81110261,10.518049127419935
1260,Orogenic Au,2.1,17.3,3.9,2.5,2430,13.7,0.1,1,24.592746831149377,0.1,3.6,0.1
1261,Orogenic Au,163.09,749.83,198.99468991307876,110.03067653664175,2442.98,33.16,6.368922001824422,1.11,1.12,0.05,32.99,4.03
1262,Orogenic Au,27.03,575.76,198.99468991307876,110.03067653664175,2478.81,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,0.256,164.91622133962267,10.518049127419935
1263,Orogenic Au,234,448,10.9,2,2490,24.8,0.2,0.3,3.7,12.91106534045501,3.6,0.4
1264,Orogenic Au,388,501,15.8,2.8,2540,18,0.5,3.3,2.2,12.91106534045501,12.9,2.9
1265,Orogenic Au,269.72,187.18,314.19,14.57,2567.68,63.66,8.74,244.76,4.83,0.98,209.88,48.48
1266,Orogenic Au,318,208,118,38,2570,20,1.3,71,2.7,1.1,510,16.8
1267,Orogenic Au,455,200,32.4,4.9,2580,10.6,0.6,49.8,2,0.7,230,10.7
1268,Orogenic Au,165,483,11.2,2.1,2590,21.4,0.1,0.5,2.3,12.91106534045501,3.2,0.8
1269,Orogenic Au,318,493,12.1,1.8,2590,25.2,0.2,0.3,4.9,12.91106534045501,3,0.4
1270,Orogenic Au,367.56,338.34,429.84,22.61,2605.15,29.601918837333674,4.56,229.45,8.66,0.97,210.97,28.87
1271,Orogenic Au,601.09,375.74,319.52,17.99,2606.96,33.44,2.9,168.12,2.69,0.69,1028.36,19.18
1272,Orogenic Au,36.76,603.04,3.57,110.03067653664175,2626.68,29.601918837333674,1.75,0.475,1.3,0.093,376.79,12.61
1273,Orogenic Au,114.4936572,191.5132442,37.66809953,2.368125324,2632.69427,29.601918837333674,29.54882376,10.25702191,18.93975231,19.86156254,382.7309251,10.518049127419935
1274,Orogenic Au,2581.532857142857,496.1985714285715,716.9188571,4.316,2654.871428571428,126.5242857142857,0.326,0.246,1.528571428571428,0.1985714285714286,4.694982857142857,1.446857142857143
1275,Orogenic Au,129,167,23.7,2.9,2660,29.601918837333674,2.5,104,24.592746831149377,2.1,5.4,0.1
1276,Orogenic Au,195.24,916.4,559.94,110.03067653664175,2688.93,29.601918837333674,0.544,4.33,0.85,0.298,19.33,4.32
1277,Orogenic Au,1.073711134,13.08511680656826,98.08828566,2.380835337696113,2695.087024253798,2.917898279983055,1.948535610392032,19.98874694842359,0.2699310984875262,0.8397313862996939,16.14743841,0.08438284
1278,Orogenic Au,302,479,12.3,2,2710,28.3,0.4,35.161402031854244,6.7,12.91106534045501,4.8,0.2
1279,Orogenic Au,586.43,351.62,763.32,15.15,2730.25,29.601918837333674,4.07,188.33,5.85,0.89,362.55,25.04
1280,Orogenic Au,331,484,12.1,1.8,2740,30.2,0.4,35.161402031854244,7,12.91106534045501,1.9,0.2
1281,Orogenic Au,468.53,493.66,521.65,34.7,2743.81,29.601918837333674,6.63,207.7,10.21,0.98,1089.46,42.01
1282,Orogenic Au,461.4044956786508,1097.020532161366,126.9034254483176,10.71682646152611,2846.799246057695,16.38169860858669,1.651681814301321,32.27671909024154,1.416449477535395,0.3425201972224124,65.96826725239727,7.554985670774466
1283,Orogenic Au,24.2,256.73,9.89,110.03067653664175,2863.3,58.23,6.368922001824422,1.36,4.09,0.169,8.03,4.94
1284,Orogenic Au,145.96,945.61,7.89,110.03067653664175,2907.43,25.69,0.307,1.18,24.592746831149377,0.512,5.27,1.04
1285,Orogenic Au,270,475,14.3,2.5,2920,30.8,0.4,35.161402031854244,7.9,12.91106534045501,3.6,0.2
1286,Orogenic Au,910,213,760,24,2060,14,18.3,7.2,27,2.8,330,39
1287,Orogenic Au,312.06,428.23,587.64,17.42,2065.76,29.601918837333674,1.99,87.28,3.81,0.501,116.74,13.3
1288,Orogenic Au,480,247,1300,127,2070,14.1,79,9,69,8,740,56
1289,Orogenic Au,160,381,11.9,1.8,2080,20.2,0.1,0.3,2.7,12.91106534045501,3.1,0.4
1290,Orogenic Au,711.9230656536843,446.0421151988806,4098.671920163745,2089.119832193329,2088.248805231667,674.2354376036276,39.27377115874999,35.73824869695349,92.32877333879466,3.355846063915465,3003.477579393997,132.4370988296707
1291,Orogenic Au,4.26,253.07,198.99468991307876,110.03067653664175,2226.3,29.601918837333674,6.368922001824422,35.161402031854244,24.592746831149377,0.045,0.0368,0.0158
1292,Orogenic Au,251.73,1382.69,198.99468991307876,110.03067653664175,2255.65,55.37,6.368922001824422,0.58,7.41,0.081,3.74,1.45
1293,Orogenic Au,85.65,459.43,3.34,110.03067653664175,2256.46,63.34,6.368922001824422,3.77,3.68,0.176,11.12,6.82
1294,Orogenic Au,143.9941358,8.306315751334568,15.52804717293117,5.432646985857587,2306.068259796863,6.274537094424629,2.541980780756336,14.33729593416897,13.73017511,3.048507136,4.093925455380782,0.010655308
1295,Orogenic Au,86.7,415.48,9.07,110.03067653664175,2308.19,51.96,3.22,4.24,5.05,0.37,280.28,29.93
1296,Orogenic Au,140,438,10.6,1.6,2310,20,0.1,0.6,2,12.91106534045501,3.3,0.6
1297,Orogenic Au,239.8,361.06,859.91,14.35,2313.76,18.22,3.21,189.84,4.89,0.76,687.02,23.69
1298,Orogenic Au,256,436,12.5,2.4,2370,23,0.2,0.6,4,12.91106534045501,5.7,0.8
1299,Orogenic Au,318,406,16.4,5.2,2930,34.2,0.5,0.2,8.8,12.91106534045501,5.2,0.2
1300,Orogenic Au,214.42212773499318,364.3733715125008,198.99468991307876,110.03067653664175,2964.21,29.601918837333674,6.368922001824422,0.76,0.7,0.43,4.39,1.39
1301,Orogenic Au,0.1,2.4,3.9,2,3010,17.2,6.368922001824422,35.161402031854244,24.592746831149377,0.1,1.3,10.518049127419935
1302,Orogenic Au,1759.219234808621,3443.040783072639,65.88291339927297,112.8139996774797,3079.642570394346,2.322225550356908,0.057692919,23.53109071186309,0.1690479010858663,0.089062222,15.69377385810088,0.022850475
1303,Orogenic Au,309.23,380.19,406.42,110.03067653664175,3096.9,29.601918837333674,4.56,251.54,6.92,0.96,1548.78,33.83
1304,Orogenic Au,8.69,111.34,198.99468991307876,110.03067653664175,3209.77,48.9,6.368922001824422,0.178,3.64,0.196,1,0.6
1305,Orogenic Au,1.5,15.8,3.9,2.3,3210,16.5,0.1,0.2,24.592746831149377,12.91106534045501,1,10.518049127419935
1306,Orogenic Au,0.1,2.3,3.2,1.8,3230,17.4,6.368922001824422,35.161402031854244,24.592746831149377,0.1,0.7,10.518049127419935
1307,Orogenic Au,0.2,3.6,3.9,2.1,3500,19,0.1,35.161402031854244,24.592746831149377,12.91106534045501,0.8,10.518049127419935
1308,Orogenic Au,2.018218167592593,79.79249697060936,30.31800844063978,3.563173137962408,3573.593070188037,11.05917085162608,0.4158548324818458,31.91417046704244,1.124424999002714,8.382587911826246,128.2534719872553,0.578249451
1309,Orogenic Au,1.4,9.5,3.5,1.7,3580,18.8,6.368922001824422,35.161402031854244,24.592746831149377,12.91106534045501,0.8,10.518049127419935
1310,Orogenic Au,4.71,144.83,3.35,110.03067653664175,3595.03,29.601918837333674,0.087,1.5,24.592746831149377,0.57,24.66,0.444
