Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOA,1080,170,,,410,310,0.2,17.79,,0.1,550,
IOA,1200,,100,100,428,300,200,100,,,100,
IOA,2900,3400,213,100,428,16.9,2.39,0.76,0.55,0.11,100,
IOA,15900,,13.3,100,473,63.2,2.76,,0,0.07,100,
IOA,810,440,130,1140,550,770,0.1,32.48,,0.21,694,
IOA,18000,,13.9,100,776,28.3,7.61,4.92,2.88,0.21,100,
IOA,470,,20,1370,830,100,7.1,9.32,420,0.19,504,1.17
IOA,1280,100,290,0,1470,110,8.9,48.47,280,0.12,506,12.1
IOA,980,,1100,,2500,330,6.9,19.2,,0.11,472,31.5
IOA,1280,100,470,2040,6430,90,3.5,33.63,,0.07,747,1.89
IOA,250,,,3880,,210,8.5,35.01,,0.13,711,21.72
IOA,300,,270,5270,,290,2,14.94,,0.2,385,19.91
IOA,350,290,,5140,,70,3.1,10.37,220,0.11,648,11.56
IOA,350,,20,1630,,,6.6,4.52,,0.2,751,27.93
IOA,390,,1540,9340,,230,5.6,13.03,850,0.12,435,10.77
IOA,410,80,4080,9340,,210,0.1,4.55,990,0.19,632,36.92
IOA,430,190,90,460,,120,0.8,26.34,,0.06,512,5.46
IOA,450,,,3880,,180,3.3,15.19,,0.15,628,13.79
IOA,480,,160,5780,,180,7.8,38.62,710,0.06,421,22.01
IOA,480,,640,,,160,2.6,18.86,220,0.09,688,19.63
IOA,560,,,,,100,3.5,12.84,,0.19,478,10.83
IOA,630,20,340,,,,1.4,28.19,40,0.07,640,26.33
IOA,640,270,,1170,,50,1.7,46.9,,0.18,596,5.43
IOA,640,,590,,,60,9.9,9.67,420,0.13,683,38.77
IOA,680,,380,4130,,40,7.4,4.76,700,0.09,424,19.38
IOA,710,3080,3770,3270,,120,1.4,32.55,,0.14,752,30.59
IOA,720,,,4130,,,0.7,10.76,,0.07,435,
IOA,720,,,680,,30,7.4,48.53,220,0.09,742,36.59
IOA,740,490,,9480,,20,1.9,1.33,510,0.08,575,9.72
IOA,790,,390,1640,,,11.1,47.81,,0.09,589,30.91
IOA,790,,,,,40,7.7,19.48,240,0.18,716,26.33
IOA,800,160,430,,,150,4.4,47.6,40,0.14,618,10.83
IOA,17100,,2.29,100,,,,,,0.26,100,
IOCG,5600,1.8,0.82,1.7,120,122.2,0.015,0.059,0.18325,0.024,1.1,12
IOCG,13000,1.9,4.78,2.5,370,93.08923724,0.017,0.013,0.12565,0.08,0.18,0.06
IOCG,83.67,2.235,2.198,3.038,35.98,18.44,0.079,0,0,2.408,0.122,0.028
IOCG,14000,2.4,0.48,1.4,14,68.47,bdl,bdl,0.198515922,0.013,0.019,0.01
IOCG,13000,2.5,39.74,2.8,3.2,125,0.12,0.11,1.322319226,0.31,0.63,0.52
IOCG,18339,20,0.215,0.7109,316.1241,5,0.0173,0.0242,0.08815,,0.02395,0.0052
IOCG,16000,20,6.22,1.2,73,50.94,0.026,0.016,0.2462,0.13,0.66,0.059
IOCG,8410,20.91,26.31,2.539,52.97,47.85,0.526,0.021,0,0.162,0.11,0.828
IOCG,16000,22,11.99,2,44,134.3,0.041,0.013,0.31525,0.27,0.53,0.12
IOCG,18389,23,0.13695,0.5568,288.3824,7,0.0208,0.02725,0.19825,,0.0205,0.01
IOCG,333.5,23.69,12.88,2.315,45.98,17.42,0.023,0.023,0,4.281,0.097,0.006
IOCG,12700,26.91,311.1,28.08,2398,12.76,5.876,0.409,0,22.18,5.842,4.397
IOCG,19280,28.18,4.038,2.565,60.41,94.26,0,0,0,13.45,0,0.008
IOCG,5200,30,18.76,2.3,360,16.70643185,0.17,0.46,0.16935,0.07,8.5,19
IOCG,497,30.07,3.612,2.946,36.91,45.38,0,0.023,0,1.092,0.011,0.013
IOCG,17000,32,2.81,1.3,38,93.27,0.0078,bdl,0.0938,0.047,0.14,0.2
IOCG,18550,35,2.945,3.536,79.81,81.03,0,0.129,0,221.9,0.03,0.46
IOCG,,35.59,14.84,3.381,577,110.1,0.088,0,0,15.1,0.052,0
